84,53,69,50,67,106,90,1,2,62,1
114,62,87,22,2,86,109,7,58,121,1
69,19,26,21,56,53,75,31,42,49,0
32,28,75,26,41,27,45,44,93,98,1
31,2,67,22,84,8,114,11,110,64,1
75,60,74,35,50,88,21,8,14,28,0
1,69,23,75,44,58,74,99,8,87,1
75,19,26,18,126,58,103,25,69,95,0
6,36,29,53,59,106,25,47,45,8,1
18,53,31,10,70,67,28,3,16,21,1
5,39,32,21,35,28,31,43,20,41,1
5,54,18,60,104,40,28,70,34,26,0
26,5,25,97,93,10,99,22,101,41,0
114,22,87,97,44,56,29,128,26,48,1
87,1,53,97,84,93,74,86,75,28,1
35,60,53,8,84,90,56,11,7,98,1
97,86,8,76,5,106,2,21,84,41,0
8,64,53,40,2,84,71,56,93,14,0
42,53,26,32,51,110,87,60,9,1,0
53,40,97,22,94,35,1,15,84,6,1
56,129,97,119,75,33,67,39,86,84,0
69,67,97,119,75,30,104,44,84,74,0
5,44,97,119,42,3,21,90,74,1,0
35,39,69,45,84,22,68,6,44,98,0
74,114,31,128,21,121,44,86,96,79,0
119,48,5,104,106,95,55,14,11,100,0
39,30,94,28,9,14,67,58,23,12,0
9,84,99,28,94,18,39,62,73,93,1
5,40,41,10,92,91,17,104,18,9,1
63,75,119,19,97,22,69,10,42,99,1
84,35,95,8,75,12,17,108,9,14,1
22,2,55,67,40,93,26,83,35,97,0
55,89,100,59,94,84,35,88,121,8,0
101,84,69,95,121,35,106,22,62,83,1
44,119,97,31,56,2,1,102,108,90,1
73,26,84,80,10,30,9,12,17,114,1
42,11,6,86,84,22,93,14,71,49,0
114,102,26,75,47,18,21,98,2,35,1
109,129,40,10,5,22,75,18,32,69,1
18,76,40,5,47,74,39,112,107,14,1
104,17,8,87,84,20,76,95,7,62,1
18,102,20,40,106,15,11,6,19,2,1
69,21,83,41,40,48,90,35,86,99,1
21,18,56,29,26,28,14,1,11,62,1
22,70,16,112,14,29,93,11,5,58,0
41,55,100,40,45,14,98,27,26,109,1
83,94,44,84,69,73,18,7,111,64,1
20,49,119,106,95,100,26,41,8,108,1
5,84,11,36,106,42,47,95,67,39,1
6,22,5,40,23,95,30,7,76,39,1
23,119,14,18,47,84,22,1,5,93,1
119,108,86,94,106,88,29,95,62,68,0
22,63,119,7,18,30,73,65,41,101,0
63,70,84,48,22,93,76,83,2,37,1
72,108,75,110,18,79,2,84,15,8,0
18,67,25,119,3,31,93,94,57,102,1
36,67,21,119,83,50,104,126,22,93,0
93,97,40,39,44,67,104,111,71,2,1
105,7,97,40,67,114,26,8,37,15,0
42,22,94,21,119,35,18,93,5,69,1
121,31,18,8,17,70,65,21,113,91,1
93,64,22,23,42,69,7,6,39,26,1
22,109,97,68,58,18,41,47,71,30,1
43,93,84,119,104,75,42,106,94,102,1
29,70,67,119,25,40,11,79,48,19,1
48,26,119,60,39,105,37,8,61,72,0
39,64,21,18,69,6,41,42,68,26,0
5,48,39,62,119,22,42,1,47,88,0
5,12,40,75,28,14,106,20,86,44,1
1,108,84,119,106,93,14,4,126,56,1
64,106,18,14,67,22,101,93,114,84,1
106,84,27,72,119,9,56,25,12,22,0
97,119,67,28,31,64,110,70,42,18,1
97,64,18,114,59,67,37,8,106,31,0
104,97,64,41,23,86,18,10,110,69,0
119,41,9,63,18,14,30,70,106,5,1
31,4,39,14,19,41,96,5,106,48,0
110,4,128,28,16,35,94,9,47,67,0
14,107,64,106,8,25,67,42,87,22,1
94,64,35,53,21,41,8,6,31,84,0
64,111,74,75,12,35,49,41,36,5,0
108,64,42,30,45,104,8,21,33,87,1
33,14,8,64,112,91,37,28,74,18,1
87,14,119,93,8,112,10,39,1,26,1
47,41,4,51,112,67,79,32,35,20,0
22,108,30,18,107,96,114,36,45,14,0
18,119,107,35,84,49,87,23,56,79,1
106,99,30,50,32,39,84,93,94,22,1
59,64,1,28,13,95,25,94,90,14,0
22,64,12,11,93,30,97,87,44,8,0
112,20,114,40,5,4,2,54,68,22,0
14,44,54,106,119,53,65,87,67,56,1
129,35,100,1,75,104,9,73,106,14,0
31,7,17,22,15,99,44,94,26,30,1
75,86,42,28,126,51,18,67,44,62,1
89,39,31,42,7,28,11,22,35,8,0
97,25,76,68,71,35,84,22,44,108,0
49,75,9,86,67,21,11,101,44,26,1
22,114,18,75,42,86,97,79,74,109,1
28,56,18,31,14,17,90,104,93,21,1
84,108,40,44,67,81,12,39,26,16,1
129,42,111,107,21,28,41,27,59,22,1
31,106,29,18,108,14,67,90,49,5,1
7,99,31,18,15,38,97,84,22,1,0
41,64,98,31,47,30,26,43,69,28,0
49,39,31,1,14,18,5,113,8,90,0
8,20,47,35,31,25,95,40,69,63,0
108,27,20,41,106,74,49,8,103,22,0
16,31,17,7,114,30,65,18,14,95,0
74,13,8,31,21,44,26,42,25,30,0
22,9,16,31,67,104,75,101,64,41,1
47,42,75,106,31,36,114,67,64,2,0
87,121,23,8,44,67,68,75,106,85,0
53,31,36,101,14,25,47,44,19,108,0
35,5,34,75,85,72,16,105,97,9,0
39,48,5,69,6,45,18,22,67,14,0
45,44,121,91,69,28,84,82,22,1,0
20,35,83,28,109,56,94,2,70,119,0
11,7,31,1,50,22,30,8,9,36,0
107,1,31,47,11,72,40,37,74,70,1
44,95,22,92,31,87,37,39,42,67,0
44,10,83,86,97,35,18,79,101,54,1
31,95,2,23,73,102,39,106,14,114,0
80,31,69,74,102,126,44,111,40,108,0
16,19,94,121,42,51,41,8,26,14,1
61,9,121,28,93,83,8,42,22,35,0
41,86,121,16,113,35,83,106,28,12,0
104,10,3,71,8,20,73,41,26,51,0
71,87,73,93,3,82,74,9,68,62,0
14,129,39,121,95,18,7,56,32,35,1
47,67,31,2,64,7,99,119,93,11,1
107,22,18,106,8,11,96,26,21,41,0
104,8,64,121,11,87,28,74,67,59,1
28,14,121,44,86,34,26,94,112,69,0
31,93,9,80,28,26,54,14,47,45,1
114,9,96,31,13,84,94,5,56,42,0
99,84,39,56,31,42,68,89,22,93,0
98,1,85,121,81,64,86,16,114,8,0
107,23,40,106,93,41,9,111,74,28,1
4,10,121,119,104,39,9,51,31,8,0
84,119,94,75,41,39,1,48,14,2,0
31,8,18,7,53,11,93,36,26,86,1
109,25,22,83,70,86,28,21,95,90,0
2,67,47,5,84,114,51,31,21,74,1
78,75,42,25,68,48,83,31,8,43,1
108,40,32,88,31,71,1,86,56,110,1
